movie_id,director_id,producer_id,box_office_value,cast_id_0,cast_id_1,cast_id_2,cast_id_3,cast_id_4
Q10384044,Q21086750,,,Q3500809,,,,
Q10381375,Q1361838,,,Q6114583,,,,
Q10376668,Q6193965,,,Q77885,Q317618,,,
Q10381614,Q3161467,,,Q455494,,,,
Q10372468,Q709398,Q472520,,Q181774,Q434324,Q236396,,
Q10384391,Q260125,,,,,,,
Q10381140,Q1384550,Q457815,,Q3133457,Q457815,Q3101710,,
Q1039018,Q142052,,,,,,,
Q10388646,Q1291693,Q5931736,,Q1281212,Q982177,Q1287517,Q1563838,Q7661354
Q10387404,Q657432,Q16337353,,Q794517,Q657432,Q10370223,Q10326637,
Q10393915,Q3568727,,,Q2062257,Q1608068,,,
Q1038530,Q740758,Q740758,,Q269742,Q869768,Q3155993,Q288114,Q738476
Q10396841,Q235032,,,Q676173,Q535002,Q11723048,Q121504,Q12025430
Q1039395,Q706293,,,Q159577,Q8059897,Q8976087,Q7129678,Q3787623
Q10335947,Q6163550,,,Q589942,Q511255,Q357391,Q561067,Q233886
Q1035137,Q3524807,Q5238526,,Q103157,Q329744,Q238924,Q817677,Q530790
Q1040848,Q41131,Q41131,,Q56009,Q345517,Q202144,Q435669,Q601358
Q10381750,Q706117,Q382188,,,,,,
Q1040069,Q12609818,,,Q493026,Q491371,Q490207,Q12608050,Q12604624
Q1041618,Q55238,,,Q207307,Q114179,Q113949,Q5943860,Q8564494
Q1041743,Q104870176,Q451108,,Q44077,Q1077549,Q150482,Q238993,Q28151
Q10381639,Q3421009,Q3421009,,,,,,
Q1041839,Q3474451,Q6831572,,Q106175,Q202449,Q5271457,Q1145528,Q2415514
Q1041834,Q709398,Q1431010,1400000.0,Q40912,Q323166,Q726398,Q2581539,Q21469237
Q104123,Q3772,Q514913,213928762.0,Q2680,Q80938,Q109232,Q125017,Q172678
Q1040470,Q369190,Q51583,,Q145132,Q238036,Q457229,Q516390,Q575668
Q1041472,Q112258746,Q20058766,,Q153737,Q490380,Q464569,Q16090412,Q484856
Q104137,Q43203,Q43203,101167799.0,Q150943,Q48337,Q106775,Q976176,Q35011
Q1041689,Q315756,Q2606507,,Q287824,Q444410,Q4885474,Q2924857,Q579571
Q1040028,Q1702735,Q6389310,,Q203545,Q976829,Q377072,Q862358,Q440728
Q10405609,Q769826,,,Q7781613,Q5492599,Q12017218,Q1988946,Q3507464
Q10393439,Q3026615,Q703759,,,,,,
Q10381701,Q61979796,,,,,,,
Q1042145,Q716064,Q716064,,Q310252,Q198030,Q16781,Q445608,Q180446
Q1041970,,,,,,,,
Q1043425,Q3991363,Q550426,73992524.0,,,,,
Q1042247,Q5090832,Q5090832,,Q198030,Q254166,Q701194,Q712088,Q706680
Q1042099,Q21503642,Q5078465,,,,,,
Q1043752,Q472420,,,Q966565,Q42745,Q563665,Q1368948,Q2959529
Q1043911,Q3133021,,,,,,,
Q104492771,Q4977845,,,Q23772141,Q311962,,,
Q10438879,Q297173,,,Q297173,Q316036,Q166493,Q919042,Q3390959
Q1044391,Q11072244,,,Q460361,Q1199055,Q1333036,Q2706764,Q254368
Q1044745,Q9301074,,,Q2735707,Q3857508,Q1371733,Q1142547,Q2529130
Q1044240,Q97775,,,Q76643,Q107971,Q1294806,Q1051177,Q1697179
Q1044883,Q287451,,,Q41871,Q374045,Q235622,Q83812,Q16297
Q1044859,Q291205,Q15149336,50812934.0,Q304123,Q714765,Q350424,Q288318,Q241043
Q1044964,Q142052,,,Q239389,Q965157,Q1317610,Q2642327,Q49569
Q1043659,Q52997,Q52997,,Q214959,Q229251,Q462118,Q3179959,Q240233
Q1044598,Q788070,,,Q1138347,Q234574,Q1137049,Q11476136,Q1059767
Q1043749,Q106712854,,,Q58028,Q451095,Q538342,Q263641,Q2040288
Q1044523,Q434585,Q434585,10827810.0,Q528126,Q32522,Q464320,Q1174721,Q1889124
Q1045023,Q3496511,Q7162089,,Q265991,Q144785,Q229268,Q242623,Q269104
Q1045165,Q51490,Q51490,,Q346280,Q229338,Q350678,Q898134,Q193653
Q1043614,Q9557,Q9557,,Q9557,Q1189950,Q718211,Q7933494,Q7396698
Q1043760,Q465350,Q465350,,Q2939648,,,,
Q1045388,Q344854,Q4532584,33899078.0,Q558666,Q726105,Q1660403,Q2832626,Q241382
Q1046198,Q315243,Q981229,,Q315243,Q449640,Q738944,Q16011431,Q3015016
Q10467422,Q2846618,,,Q971177,Q936061,Q912720,Q4772518,Q466388
Q1046576,Q2141212,Q4714680,,Q228931,Q202381,Q207596,Q259816,Q108935
Q1046795,Q274416,Q106529,,Q334506,Q106529,Q238869,Q620118,Q3158341
Q1046841,Q466320,Q16734532,,Q213567,Q360528,Q296616,Q269835,Q211283
Q1043604,Q295855,Q3753653,,Q459890,Q561048,Q153300,Q942278,Q2454657
Q1047872,Q1384021,,,Q925877,Q228862,Q269242,Q822377,Q2904476
Q1045889,Q178713,Q713511,,,,,,
Q10470224,Q6758462,,,Q230405,Q7310672,Q7982835,Q583403,Q3084485
Q1047344,Q7271272,Q521135,,Q309589,Q521947,Q327963,,
Q1046883,Q711914,Q6273205,,Q372704,Q455672,Q455986,Q3136238,Q974139
Q1048166,Q725449,Q1385337,287900000.0,Q315763,Q184103,Q317308,Q242732,Q210741
Q1047663,Q547485,Q3178864,65700000.0,Q181799,Q220918,Q209098,Q403902,Q182763
Q104844614,Q460297,,,,,,,
Q1048085,Q56005,Q3496862,,Q119798,Q189415,Q741184,Q40162,Q1344415
Q1048394,,,,,,,,
Q1042731,Q664001,,,Q253900,Q1343721,Q1347933,Q3616077,
